2024-11-02 11:42:02,742 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:43:06,180 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:44:29,311 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:45:11,285 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:46:28,991 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:48:14,751 - ERROR - Erro na análise com IA: 429 Resource has been exhausted (e.g. check quota).
2024-11-02 11:49:38,841 - ERROR - Erro na análise do arquivo automacao_organiza_projeto_restaura_backup_v1.py: object GenerateContentResponse can't be used in 'await' expression
2024-11-02 11:49:49,261 - ERROR - Erro na análise do arquivo backup_projeto.py: object GenerateContentResponse can't be used in 'await' expression
2024-11-02 11:52:26,205 - ERROR - Erro ao processar contador_tokens_menu.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,208 - ERROR - Erro ao processar documentacao-projeto-automation-v1.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,211 - ERROR - Erro ao processar documentacao-projeto-automation-v2-gemini-powered.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,214 - ERROR - Erro ao processar gerador-dic-texto-yaml-v1.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,216 - ERROR - Erro ao processar gerador_vetorizador_continuo.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,218 - ERROR - Erro ao processar gerador_yaml_embeddings-prompt-v2.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,220 - ERROR - Erro ao processar gerador_yaml_embeddings.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,222 - ERROR - Erro ao processar gerador_yaml_embeddings_stream_v1-cria-contexto.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,226 - ERROR - Erro ao processar gerador_yaml_embeddings_stream_v1-cria-lista-palavras.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,228 - ERROR - Erro ao processar limpar_duplicados_avancado.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,230 - ERROR - Erro ao processar remover_duplicados.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,232 - ERROR - Erro ao processar restaurar_backup.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,234 - ERROR - Erro ao processar restaura_backup_versionado.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,236 - ERROR - Erro ao processar testa-banco-vetor-ele.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,238 - ERROR - Erro ao processar yaml-parser-vector-database-increment-v1.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,241 - ERROR - Erro ao processar yaml_to_vectors.py: write() argument must be str, not coroutine
2024-11-02 11:52:26,243 - ERROR - Erro ao processar zipar_yamls.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,669 - ERROR - Erro ao processar automacao_organiza_projeto_restaura_backup_v1.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,675 - ERROR - Erro ao processar backup_projeto.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,678 - ERROR - Erro ao processar banco_tokens.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,680 - ERROR - Erro ao processar contador_tokens_menu.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,683 - ERROR - Erro ao processar documentacao-projeto-automation-v1.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,686 - ERROR - Erro ao processar documentacao-projeto-automation-v2-gemini-powered.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,689 - ERROR - Erro ao processar gerador-dic-texto-yaml-v1.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,693 - ERROR - Erro ao processar gerador_vetorizador_continuo.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,695 - ERROR - Erro ao processar gerador_yaml_embeddings-prompt-v2.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,698 - ERROR - Erro ao processar gerador_yaml_embeddings.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,701 - ERROR - Erro ao processar gerador_yaml_embeddings_stream_v1-cria-contexto.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,703 - ERROR - Erro ao processar gerador_yaml_embeddings_stream_v1-cria-lista-palavras.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,706 - ERROR - Erro ao processar limpar_duplicados_avancado.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,709 - ERROR - Erro ao processar remover_duplicados.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,711 - ERROR - Erro ao processar restaurar_backup.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,714 - ERROR - Erro ao processar restaura_backup_versionado.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,716 - ERROR - Erro ao processar testa-banco-vetor-ele.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,718 - ERROR - Erro ao processar yaml-parser-vector-database-increment-v1.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,720 - ERROR - Erro ao processar yaml_to_vectors.py: write() argument must be str, not coroutine
2024-11-02 11:53:08,722 - ERROR - Erro ao processar zipar_yamls.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,886 - ERROR - Erro ao processar automacao_organiza_projeto_restaura_backup_v1.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,892 - ERROR - Erro ao processar backup_projeto.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,895 - ERROR - Erro ao processar banco_tokens.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,897 - ERROR - Erro ao processar contador_tokens_menu.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,900 - ERROR - Erro ao processar documentacao-projeto-automation-v1.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,903 - ERROR - Erro ao processar documentacao-projeto-automation-v2-gemini-powered.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,906 - ERROR - Erro ao processar gerador-dic-texto-yaml-v1.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,909 - ERROR - Erro ao processar gerador_vetorizador_continuo.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,912 - ERROR - Erro ao processar gerador_yaml_embeddings-prompt-v2.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,914 - ERROR - Erro ao processar gerador_yaml_embeddings.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,917 - ERROR - Erro ao processar gerador_yaml_embeddings_stream_v1-cria-contexto.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,920 - ERROR - Erro ao processar gerador_yaml_embeddings_stream_v1-cria-lista-palavras.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,923 - ERROR - Erro ao processar limpar_duplicados_avancado.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,926 - ERROR - Erro ao processar remover_duplicados.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,929 - ERROR - Erro ao processar restaurar_backup.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,931 - ERROR - Erro ao processar restaura_backup_versionado.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,934 - ERROR - Erro ao processar testa-banco-vetor-ele.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,936 - ERROR - Erro ao processar yaml-parser-vector-database-increment-v1.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,937 - ERROR - Erro ao processar yaml_to_vectors.py: write() argument must be str, not coroutine
2024-11-02 11:54:07,940 - ERROR - Erro ao processar zipar_yamls.py: write() argument must be str, not coroutine
2024-11-02 11:54:45,111 - ERROR - Erro na análise do arquivo automacao_organiza_projeto_restaura_backup_v1.py: object GenerateContentResponse can't be used in 'await' expression
2024-11-02 11:54:47,412 - ERROR - Erro na análise do arquivo backup_projeto.py: 500 An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting
2024-11-02 11:54:59,799 - ERROR - Erro na análise do arquivo banco_tokens.py: object GenerateContentResponse can't be used in 'await' expression
2024-11-02 11:55:09,914 - ERROR - Erro na análise do arquivo contador_tokens_menu.py: object GenerateContentResponse can't be used in 'await' expression
